filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
gcc-6.5.0.tar,622899200,113255898,5.4999,186.5456
gcc-7.1.0.tar,505825280,93288662,5.4221,184.2161
gcc-7.2.0.tar,506357760,93409514,5.4208,186.2008
gcc-7.3.0.tar,507330560,93604530,5.4199,184.5977
gcc-7.4.0.tar,508303360,93878616,5.4144,182.8644
gcc-7.5.0.tar,509655040,94083649,5.4170,185.3007
gcc-8.1.0.tar,533708800,98051457,5.4431,184.0414
gcc-8.2.0.tar,534384640,98346504,5.4336,186.7000
gcc-8.3.0.tar,535162880,98324805,5.4428,184.7484
gcc-8.4.0.tar,536821760,98481790,5.4509,185.3031
gcc-8.5.0.tar,537978880,98582639,5.4571,186.0785
gcc-9.1.0.tar,586137600,107771054,5.4387,184.9132
gcc-9.2.0.tar,587028480,107857651,5.4426,185.8663
gcc-9.3.0.tar,588134400,108296708,5.4307,187.8125
gcc-9.4.0.tar,589998080,108565463,5.4344,187.9001

Total_files: 117
Total_original_bytes: 44142602240
Total_compressed_bytes: 7987259308
Total_compression_ratio (orig/comp): 5.5266
Total_savings_percent: 82.00
Mean_throughput_MiB_s: 180.9989
Std_dev_MiB_s: 8.2509
95%_CI_MiB_s: [179.5038, 182.4940]
