Dataset,TotalLogicalSize_Bytes,GitObjectsSize_Bytes,GitMetadataSize_Bytes,TotalPhysicalSize_Bytes,OCR,ERR,CommitTime_Seconds,RepackTime_Seconds,TotalTime_Seconds
cross_c++_tar-repack,110616838296,4391871163,3655835,4395526998,25.1867,25.1657,2648.102179418,.000559919,2648.102739337
linux-repack,205211416948,6016971130,8750471,6025721601,34.1054,34.0559,3420.314031626,.000547361,3420.314578987
WEB-repack,299875782605,1441253968,6373058,1447627026,208.0658,207.1498,3522.062494350,.002930560,3522.065424910
automake-repack,436715292,60551469,179576,60731045,7.2122,7.1909,35.825616718,.000513331,35.826130049
coreutils-repack,240412678,18938392,234708,19173100,12.6944,12.5390,13.035932419,.000623891,13.036556310
gcc-repack,40468435629,2100652340,13144561,2113796901,19.2646,19.1449,1094.609220771,.000519598,1094.609740369
react-repack,2886518499,85623171,1084220,86707391,33.7118,33.2903,58.810274261,.000533142,58.810807403
netty-repack,2332724103,48616204,428289,49044493,47.9824,47.5634,65.659470109,.000523076,65.659993185
Cpython-repack,10093334224,501494388,604825,502099213,20.1265,20.1022,213.600235436,.000587439,213.600822875
