filename,original_bytes,compressed_bytes,compression_ratio,throughput_MiB_s
v3.12.0b1.tar,100700160,26090214,3.8596,213.1532
v3.12.0b2.tar,103495680,26319119,3.9323,221.9130
v3.12.0b3.tar,103577600,26337978,3.9326,219.4039
v3.12.0b4.tar,103649280,26375762,3.9297,228.6261
v3.12.0rc1.tar,103823360,26401570,3.9324,228.9989
v3.12.0rc2.tar,104263680,26694738,3.9057,220.5947
v3.12.0rc3.tar,104325120,26706150,3.9064,220.7512
v3.12.0.tar,104355840,26692799,3.9095,220.3877
v3.12.10.tar,106004480,26840749,3.9493,214.9255
v3.12.11.tar,106055680,26838969,3.9515,221.4414
v3.12.1.tar,104857600,26796301,3.9131,222.4585
v3.12.2.tar,105154560,26816154,3.9213,224.7763
v3.12.3.tar,105420800,26844968,3.9270,219.7185
v3.12.4.tar,105635840,26914242,3.9249,216.2007
v3.12.5.tar,105564160,26731380,3.9490,219.7824
v3.12.6.tar,105687040,26726017,3.9544,222.7676
v3.12.7.tar,105717760,26743092,3.9530,216.1504
v3.12.8.tar,105984000,26786963,3.9565,226.1646
v3.12.9.tar,106158080,26816050,3.9587,222.6313
v3.13.0a1.tar,101017600,26226743,3.8517,212.4865
v3.13.0a2.tar,101406720,26338280,3.8501,216.2537
v3.13.0a3.tar,101969920,26465793,3.8528,219.6179
v3.13.0a4.tar,102963200,26877529,3.8308,217.5712
v3.13.0a5.tar,103731200,26951309,3.8488,211.3545
v3.13.0a6.tar,104335360,27200708,3.8357,220.2336
v3.13.0b1.tar,105523200,27364197,3.8562,214.4518
v3.13.0b2.tar,105768960,27474894,3.8496,218.1760
v3.13.0b3.tar,105697280,27195516,3.8865,221.2111
v3.13.0b4.tar,105902080,27242945,3.8873,216.6212
v3.13.0rc1.tar,105953280,27250543,3.8881,214.5508
v3.13.0rc2.tar,108605440,27540303,3.9435,221.5152
v3.13.0rc3.tar,110151680,28972487,3.8019,217.7984
v3.13.0.tar,110161920,28943226,3.8061,220.4069
v3.13.1.tar,110684160,29097235,3.8039,206.7762
v3.13.2.tar,110909440,29128200,3.8076,212.0145
v3.13.3.tar,110827520,29182944,3.7976,211.2076
v3.13.4.tar,111073280,29191602,3.8049,216.6429
v3.13.5.tar,111226880,29371805,3.7868,215.2876
v3.14.0a1.tar,109383680,29124980,3.7556,212.1564
v3.14.0a2.tar,110018560,29261589,3.7598,212.0276
v3.14.0a3.tar,110417920,29346933,3.7625,215.2197
v3.14.0a4.tar,110786560,29406488,3.7674,218.0837
v3.14.0a5.tar,111155200,29492158,3.7689,215.7121
v3.14.0a6.tar,112066560,29653258,3.7792,218.6826
v3.14.0a7.tar,112496640,29726499,3.7843,215.9285
v3.14.0b1.tar,114329600,30148459,3.7922,220.8325
v3.14.0b2.tar,117309440,30392300,3.8598,215.5856
v3.14.0b3.tar,117688320,30479711,3.8612,223.6862
v3.14.0b4.tar,117760000,30514850,3.8591,209.2916
v3.14.0rc1.tar,117903360,30559634,3.8581,214.4056

Total_files: 100
Total_original_bytes: 10323927040
Total_compressed_bytes: 2670440103
Total_compression_ratio (orig/comp): 3.8660
Total_savings_percent: 75.00
Mean_throughput_MiB_s: 216.5269
Std_dev_MiB_s: 7.3319
95%_CI_MiB_s: [215.0899, 217.9640]
