CDF (%),Casecount/Unique Chunk Ratio
0.0,0.022920422353850115
1.0,0.14955443626501355
2.0,0.18285047224875306
3.0,0.21968029099262945
4.0,0.2281119714115545
5.0,0.24253430185633576
6.0,0.2562572646261139
7.0,0.2547314578005115
8.0,0.28322913835281327
9.0,0.2943776850756491
10.0,0.31214879748258034
11.0,0.2967871485943775
12.0,0.3086153716144843
13.0,0.3093852770048065
14.0,0.32323303254801444
15.0,0.3388942462230794
16.0,0.3582465914088843
17.0,0.3780302828707523
18.0,0.37631777598459015
19.0,0.3783226338721737
20.0,0.37874897288414133
21.0,0.3930953774136922
22.0,0.398707186784576
23.0,0.4006019395831011
24.0,0.40472836804125945
25.0,0.4053493048498346
26.0,0.41035031180680537
27.0,0.4133009847295562
28.0,0.417058858870887
29.0,0.4202890083352808
30.0,0.4216329135960077
31.0,0.42174476396758787
32.0,0.42484294688749286
33.0,0.4254095404415254
34.0,0.4261113108642583
35.0,0.4264424986288935
36.0,0.42993802460404607
37.0,0.4303280211003381
38.0,0.430692426182655
39.0,0.4329407886302449
40.0,0.43492991073029075
41.0,0.4352551477170994
42.0,0.4352698952645242
43.0,0.43754111415019215
44.0,0.43515230159814233
45.0,0.41758172706850777
46.0,0.41767698976066336
47.0,0.41767698976066336
48.0,0.41767698976066336
49.0,0.41767698976066336
50.0,0.42554631453880976
51.0,0.4255895091434071
52.0,0.4130062670826316
53.0,0.4130467790246663
54.0,0.39281691903391314
55.0,0.3928549083401114
56.0,0.39473371374227295
57.0,0.39476249346203224
58.0,0.3864133589319998
59.0,0.38642020783801584
60.0,0.3880227133144415
61.0,0.38804249450502093
62.0,0.37754630559685004
63.0,0.3775650619230808
64.0,0.3690610265905664
65.0,0.36909113467393273
66.0,0.3593262744046821
67.0,0.35935168556392455
68.0,0.35435925474197755
69.0,0.35438044611916697
70.0,0.34681122752472576
71.0,0.34683712962375485
72.0,0.3465352553629642
73.0,0.3465501519756839
74.0,0.34275513455577766
75.0,0.3427764501412123
76.0,0.3458142728068241
77.0,0.3458282348254176
78.0,0.3420920649551332
79.0,0.3421054415083598
80.0,0.3461676146533551
81.0,0.34618928611676425
82.0,0.34289836282285946
83.0,0.34291089121495805
84.0,0.34726602103587045
85.0,0.3472782007264766
86.0,0.34133786687445394
87.0,0.34134953101111526
88.0,0.3444371350561497
89.0,0.34444858420268254
90.0,0.34119871558195997
91.0,0.3412097717063565
92.0,0.345566287181235
93.0,0.3455770795312122
94.0,0.34258123201895413
95.0,0.342591662215547
96.0,0.34532697576175836
97.0,0.3453303985486409
98.0,0.3411242825994336
99.0,0.3411341901076649
