CDF (%),Casecount/Unique Chunk Ratio
0.0,0.006666666666666667
1.0,0.12389380530973451
2.0,0.20078740157480315
3.0,0.17340286831812254
4.0,0.16003700277520813
5.0,0.13652609006433167
6.0,0.15451505016722408
7.0,0.1781931464174455
8.0,0.21153846153846154
9.0,0.23402061855670103
10.0,0.2623645784267546
11.0,0.279901356350185
12.0,0.288630904723779
13.0,0.2977186311787072
14.0,0.30455547391623805
15.0,0.310641347187388
16.0,0.25416788534659257
17.0,0.25694838343732274
18.0,0.2589113014644929
19.0,0.26384720327421557
20.0,0.26666666666666666
21.0,0.26666666666666666
22.0,0.2813786008230453
23.0,0.2881270481472145
24.0,0.29090004972650424
25.0,0.29298892988929887
26.0,0.2968146718146718
27.0,0.302375296912114
28.0,0.30535251120018864
29.0,0.3096997690531178
30.0,0.3128440366972477
31.0,0.31545454545454543
32.0,0.31875563570784493
33.0,0.3216125419932811
34.0,0.3216125419932811
35.0,0.32480705622932743
36.0,0.327718223583461
37.0,0.33016216216216215
38.0,0.33297781569965873
39.0,0.33570829840737637
40.0,0.3368140868140868
41.0,0.33888777353944993
42.0,0.3412745681953544
43.0,0.3434602485697376
44.0,0.3434602485697376
45.0,0.3458791739046516
46.0,0.3474717540285238
47.0,0.3474717540285238
48.0,0.34930249632892807
49.0,0.3512434198584135
50.0,0.35255948089401584
51.0,0.35457809694793535
52.0,0.3572170301142264
53.0,0.3550434201736807
54.0,0.34316991908614947
55.0,0.3339914945321993
56.0,0.3351971326164875
57.0,0.3372755770874893
58.0,0.3445729413403929
59.0,0.3466444814198558
60.0,0.35141800246609123
61.0,0.35331789072080666
62.0,0.35436497144411205
63.0,0.3546195652173913
64.0,0.3577268462672564
65.0,0.35147133434804667
66.0,0.3543188113825233
67.0,0.3594747177221404
68.0,0.3608700965416107
69.0,0.35121836925960637
70.0,0.3611617312072893
71.0,0.3625651484251076
72.0,0.36715784773386917
73.0,0.37010755072624457
74.0,0.3706696181516325
75.0,0.3635104910001065
76.0,0.35210109935271755
77.0,0.3536148890479599
78.0,0.3555285294415729
79.0,0.35627653123104913
80.0,0.3630497369204805
81.0,0.36386163147982953
82.0,0.3651546595513391
83.0,0.36578141968604994
84.0,0.37147563220618157
85.0,0.37498799346844686
86.0,0.3755994628812584
87.0,0.3612618412581624
88.0,0.3511491181186531
89.0,0.33921988855550794
90.0,0.3278025425127951
91.0,0.32872815928484356
92.0,0.31829947446858575
93.0,0.3204868154158215
94.0,0.30957750714178317
95.0,0.3131596427780648
96.0,0.31370528485205357
97.0,0.3052518756698821
98.0,0.30578688874653
99.0,0.30975318191407075
