automake,chromium,linux,WEB
0.006666667,0.038521522,0.006322711,0.016169732
0.123893805,0.038685246,0.233997624,0.034519862
0.200787402,0.038904955,0.242478464,0.050247397
0.173402868,0.039073472,0.259215535,0.178119842
0.160037003,0.039234329,0.263041724,0.190197495
0.13652609,0.039842997,0.2668606,0.20134054
0.15451505,0.040173591,0.354673782,0.210757265
0.178193146,0.040906904,0.360793811,0.221378129
0.211538462,0.041813856,0.363798899,0.231658086
0.234020619,0.042135172,0.367866218,0.241165409
0.262364578,0.042416916,0.368708158,0.250683186
0.279901356,0.042804174,0.37068231,0.259331863
0.288630905,0.043443786,0.371739272,0.265803951
0.297718631,0.044088767,0.37375922,0.273348964
0.304555474,0.04427986,0.426137707,0.281914447
0.310641347,0.0446702,0.424663546,0.290617388
0.254167885,0.045002114,0.425934647,0.298648237
0.256948383,0.045332014,0.427931465,0.306666558
0.258911301,0.045552734,0.429281536,0.314976999
0.263847203,0.045964668,0.430197153,0.321742147
0.266666667,0.046303491,0.468451966,0.328113029
0.266666667,0.046719113,0.456989133,0.333257056
0.281378601,0.046891688,0.458610379,0.338140043
0.288127048,0.047078683,0.459531953,0.342728891
0.29090005,0.04781411,0.459872638,0.347661302
0.29298893,0.047976417,0.459675254,0.352709187
0.296814672,0.048192867,0.460306064,0.356937628
0.302375297,0.048513914,0.460480537,0.361535301
0.305352511,0.048667081,0.493495396,0.36573605
0.309699769,0.04886454,0.481667486,0.369966987
0.312844037,0.049218686,0.480670679,0.37387333
0.315454545,0.04949612,0.48234586,0.378004096
0.318755636,0.049722095,0.482981844,0.381703954
0.321612542,0.049917599,0.483306756,0.387525079
0.321612542,0.050280213,0.484014417,0.393756302
0.324807056,0.051304551,0.512213175,0.39966849
0.327718224,0.052086585,0.501739264,0.40565044
0.330162162,0.052242779,0.502714652,0.411110949
0.332977816,0.052399056,0.503032041,0.416648789
0.335708298,0.052552797,0.502885818,0.421858159
0.336814087,0.052829526,0.503144877,0.427054324
0.338887774,0.053006023,0.503379475,0.431813492
0.341274568,0.053250536,0.525930113,0.435596146
0.343460249,0.053458379,0.515144567,0.439988543
0.343460249,0.053623412,0.515763505,0.443734273
0.345879174,0.05386936,0.515654606,0.447300824
0.347471754,0.054083363,0.51591855,0.450968548
0.347471754,0.05428078,0.515728422,0.454373031
0.349302496,0.054452278,0.515866959,0.45753013
0.35124342,0.0546125,0.516160968,0.46066184
0.352559481,0.054949472,0.540430155,0.464296494
0.354578097,0.055114412,0.529107921,0.466568945
0.35721703,0.055372834,0.528104014,0.468870046
0.35504342,0.055522813,0.528255541,0.471147366
0.343169919,0.055710829,0.528394627,0.472849001
0.333991495,0.055860694,0.528897458,0.474135177
0.335197133,0.056017744,0.528973386,0.475042276
0.337275577,0.0561678,0.547357508,0.476937973
0.344572941,0.056317808,0.541452294,0.47807338
0.346644481,0.056467769,0.541335513,0.480214238
0.351418002,0.056622301,0.541268568,0.482215016
0.353317891,0.056781694,0.541316507,0.483767521
0.354364971,0.057003397,0.541411488,0.485053622
0.354619565,0.05715312,0.541165506,0.486205583
0.357726846,0.057302795,0.541257993,0.487531835
0.351471334,0.057452422,0.554703041,0.488922701
0.354318811,0.057611509,0.547490931,0.490698428
0.359474718,0.057842191,0.546796972,0.492475954
0.360870097,0.058026174,0.546774704,0.493749364
0.351218369,0.058224545,0.546784996,0.494943344
0.361161731,0.058380713,0.546925993,0.496320751
0.362565148,0.058543251,0.54698931,0.497602627
0.367157848,0.0587369,0.547032617,0.498909882
0.370107551,0.058885703,0.559782117,0.500560006
0.370669618,0.059039192,0.551464213,0.502319617
0.363510491,0.059188203,0.544355049,0.503699886
0.352101099,0.059337168,0.532419317,0.504962872
0.353614889,0.059486085,0.522019889,0.506262573
0.355528529,0.059634646,0.51351574,0.507435661
0.356276531,0.059790321,0.504882307,0.508862952
0.363049737,0.060084279,0.498339865,0.510274849
0.363861631,0.060268262,0.488976795,0.511797762
0.36515466,0.060453316,0.481342575,0.512602776
0.36578142,0.060606218,0.475780326,0.51381524
0.371475632,0.060787006,0.469233731,0.515058392
0.374987993,0.06098739,0.463934803,0.516101229
0.375599463,0.061164304,0.460707387,0.517189897
0.361261841,0.06138866,0.456722885,0.518535498
0.351149118,0.061606408,0.45412532,0.519996228
0.339219889,0.061754168,0.449810173,0.519182556
0.327802543,0.061924885,0.447515643,0.520639961
0.328728159,0.062079648,0.445264044,0.521703465
0.318299474,0.06225344,0.444031326,0.522623264
0.320486815,0.062400972,0.442921537,0.523539323
0.309577507,0.062548779,0.441501752,0.52457419
0.313159643,0.06269654,0.440391449,0.525035849
0.313705285,0.062844255,0.439171852,0.526775876
0.305251876,0.062992553,0.43808209,0.528095093
0.305786889,0.063156264,0.43710973,0.529205179
0.309753182,0.063313788,0.43663688,0.53016422
,0.063473502,0.435225802,0.531011038
,0.063622826,0.434491882,0.532021694
,0.063770218,0.433459663,
,0.063917563,0.432802391,
,0.064064862,0.431788657,
,0.064211783,0.431626716,
,0.064560585,0.431177946,
,,0.430406388,
,,0.430061315,
,,0.429656543,
,,0.429284351,
,,0.429059846,
,,0.42912879,
,,0.429100927,
,,0.428085578,
,,0.427934322,
,,0.427874489,
,,0.427735715,
,,0.427519241,
,,0.427346939,
